id,portfolio,question_parts,question,reply,referred_reply,answered,givesRequestedFigure,addressesAllParts,declinesWithReason,evasionType,note
2024-39753,Minister of Education,1,What are the criteria for the providers and facilitators of Professional Learning and Development for structured literacy approaches?,"I am advised by the Ministry of Education that the criteria for providers and facilitators focuses on four main categories: Research and Evidence, Professional Learning and Development (PLD), Measuring Impact and Facilitation. 

Providers are expected to show their expertise in:
• evidence informed practice based on current research on what has been shown to be effective, including the science of learning
• the elements of structured literacy approaches
• their principals of explicit and intentional teaching
• effective methods of building teaching capability and changing teaching practice
• determining the impact of facilitation on teaching capability, and student progress and achievement
• recognising and responding to reading and writing difficulties.",,,,,,,
2024-80970,Minister of Health,2,"What additional funding will be required for the action point 'Adopt common cultural safety expectations', as contained on page 19 of the 2024 Health Workforce Plan, if any, and if additional funding is required, where will it be sourced from?",I refer the Member to my response to Written Parliamentary Question 80961 (2024).,I am advised that all Health Workforce Plan initiatives will be funded out of Health New Zealand baselines.,,,,,,
2024-52408,Minister for Children,1,"Further to Written Parliamentary Question 48474 (2024), on what dates were the nine meetings between mana whenua and Oranga Tamariki regarding the pilot military-style academy?","I am advised by Oranga Tamariki the formal meetings with mana whenua regarding the Military-Style Academy Pilot were on the following dates: 
• 13 May 2024 
• 31 May 2024
• 5 June 2024
• 2 July 2024 
• 4 July 2024
• 11 July 2024
• 18 July 2024
• 29 July 2024
• 14 August 2024

Noting that ongoing communication and informal hui between mana whenua representatives and programme staff have also occurred during this period.",,,,,,,
2024-7265,Minister of Housing,2,"Has the Minister sought any advice whatsoever on a 'social investment' perspective on the Government's decision to introduce no-cause evictions; if so, what are the titles of that advice?",I have not sought any advice on a ‘social investment perspective’ on the reintroduction of 90-day ‘no-cause’ notices for periodic tenancies.,,,,,,,
2025-42200,Minister of Corrections,1,What percentage of cell intercom emergency calls at Mt Eden went unanswered in the 12 months to July 2025?,"I am advised that Mt Eden Corrections Facility utilises the AUSTCO/Cell Guard intercom system, which includes a diversion feature designed to ensure timely response to intercom calls. Between the hours of 6:00am and 6:00pm, all intercom calls fall within the responsibilities of custodial housing unit staff, who are on shift within the units day to day. Any intercom calls that are not answered within 90 seconds during this shift are automatically diverted to the site’s Master Control team. While the system does not capture a specific data field to quantify the number of intercom calls subject to diversion, the diversion mechanism itself ensures that calls are not left unattended.

I am further advised that intercom calls made outside of the 6.00am to 6.00pm time are managed directly by the site’s Master Control team.",,,,,,,
2024-59644,Minister of Health,1,"What role can nurse practitioners play in improving access to primary care for rural New Zealanders, if any?","I am advised that nurse practitioners are a highly valued asset in ensuring access and provision of safe, high‐quality care, especially for rural New Zealanders who find it hard to access general practitioners.

I am further advised that nurse practitioners have advanced skills and practice beyond the level of registered nurses. They most commonly work as part of an interdisciplinary team improving access to healthcare and have the ability to work autonomously to provide a full range of assessments, diagnostic tests, prescribing, and treatment interventions. 

I am also advised that the number of nurse practitioners working in primary care is growing. They are an important element for evolving and diversifying primary care teams and are able to support the development and scope of other primary care nurses.",,,,,,,
2025-15520,Associate Minister of Health,1,"What progress, if any, has been made in the quarter October to December 2024 in the priority area ‘Ensure surveillance information planning and outputs are developed and shared with communities and health professionals’ under ‘STRATEGIC DIRECTION 1: Surveillance, information and public health knowledge systems to drive action’ as part of the Aotearoa New Zealand Sexually Transmitted and Blood Borne Infection Strategy 2023-2030?",I refer the Member to Written Parliamentary Question 15495 (2025).,"Published in March 2023, the Sexually Transmitted and Blood Borne Infections (STBBI) Strategy sets out a roadmap to 2030 to achieve an Aotearoa New Zealand where STBBI are prevented and where all people living with STBBI live long and healthy lives free from stigma and discrimination.
 
 Officials from across the Ministry of Health (the Ministry) and Health NZ have developed a cross-agency STBBI work programme to implement the STBBI Strategy with an initial focus on the HIV, hepatitis C and syphilis action plans that sit under it, as well as hepatitis B and contracts with other STBBI related non-governmental and community organisations such as the Needle Exchange Programme (NEP).

 The goals and objectives in the strategy are intentionally high-level and the Ministry expects activities being taken to deliver on the priority action plans noted above to contribute to these over time.
 
 Specifically in the quarter October to December 2024, the following activities were progressed, all of which contribute towards implementing the strategic approaches for the STBBI Strategy.
 
 • There continued to be a strong focus on connecting with refugee migrants and asylum seeker groups, Hauora Māori partners, needle exchange services and sex workers to support these communities to be able to deliver future HIV and sexually transmitted infection (STI) testing.
 • Procurement documents were completed to expand innovative HIV and STI testing services to priority populations. A request for proposal will commence in quarter three 2024/25.
 • A working group, primarily involving people living with HIV representing the priority population groups, completed community engagement to test key concepts and gather insights on HIV stigma. This will inform development of an HIV campaign to challenge stigma and discrimination.
 • In response to the increase in HIV cases in Fiji, officials presented to the heads of Public Service Agencies in Fiji to provide insight on the management of HIV in New Zealand. Health NZ is also working with stakeholders to raise awareness of HIV amongst the Pacific population in New Zealand and increase HIV and STI testing.
 • Training, endorsed by the Nursing Council and the Pharmacy Council, continued to be promoted for nurses and pharmacists to provide hepatitis C treatment without prescription. 
• The HIV Monitoring Plan was published in June 2024 to support and measure progress towards achieving the goals and targets of the HIV Action Plan. Work is underway to develop the first HIV Monitoring Report. This report is expected to be delivered mid-2025.
 • Work to develop a teaching package for midwives on syphilis and other STIs has progressed with consultation with subject matter experts. The New Zealand College of Midwives is working in collaboration with Ngā Maia Māori Midwives Aotearoa and Pacific Midwives Aotearoa/Moana Connect to deliver the training.
 • Work commenced on preparations for procurement to identify a provider to develop a national campaign to raise awareness of syphilis and promote testing in sexually active heterosexual people. The campaign aims to address the increasing rates of syphilis in New Zealand and the associated cases of babies being born with congenital syphilis.",,,,,,
2024-67922,Minister for ACC,2,"Will ACC's $7.2 billion deficit affect its ability to meet its obligations to claimants; if so, how?",I am advised the recorded deficit does not impact ACC’s ability to meet its obligations to claimants.,,,,,,,
2024-43604,Minister of Finance,1,"What opportunities for reprioritisation, if any, were identified in the March rapid review of the Ministry of Education?",I refer the Member to my response to WPQ 43598 (2024).,"As I indicated at the Finance and Expenditure Committee during Scrutiny Week, the independent rapid reviews made a small number of recommendations for reprioritisation opportunities at Budget 2024, as well as further recommendations for implementation in the medium-to-long term (e.g., at Budget 2025 or future Budgets). The Government plans to continue work on these medium-to-long term recommendations in the coming months.",,,,,,
2025-51915,Minister for Children,1,"Further to 46852 (2025), how many, if any, secure care admissions were extended at Oranga Tamariki's Te Puna Wai o Tuhinapo youth justice facility between 1 July and 31 December 2024, and, if any, were all in full compliance with the law?","I am advised that between 1 July and 31 December 2024, 33 secure care admissions were extended at Te Puna Wai ō Tuhinapo residence, meaning that the admission lasted for longer than 3 consecutive days, as per the Oranga Tamariki Act (1989).

I am further advised that 21 of these did not have prior authorisation from the court under section 376 of the Act for continued detention in secure care. Reasons why there might not have been authorisation for a retention beyond 3 consecutive days include where this time limit was reached due to a re-admission to secure care on the same day. Every extension should have authorisation and I am informed that Oranga Tamariki is aware of these instances and individual residences have provided refresher training where needed to ensure that this happens going forward. Please note that this is operational data and subject to change.",,,,,,,
2024-57944,Minister of Health,2,"Further to WPQ 55653 (2024), if Health New Zealand’s executive leadership team are able to name their direct reports, how much time and expense would it take for those direct reports to name their direct reports in turn – thereby identifying the top three tiers of staff at Health New Zealand as requested in WPQ 51712 (2024)?","I have not been advised by Health New Zealand specifically how many hours would be needed to collate this information, however they advise it would require substantial manual collation and divert staff from their core duties under Speaker’s Ruling 210-6. 

I also refer the Member to Written Parliamentary Question 51712 (2024).",,,,,,,
2024-10933,Minister of Finance,1,"Where did she get the data, if any, to back up her statement the budget will prioritise investments in the public services that matter most to New Zealanders?",I refer you to my response to Written Question 10932 (2024).,"The decisions evidencing the Government’s commitment to investments in the public services that matter most to New Zealanders will be set out on Budget day. I receive a range of advice as I prepare the Budget package. Consistent with past years, key advice will be proactively released after Budget day.",,,,,,
