name	party	from	to
Arena Williams	Labour Party	2020-10-17	
Benjamin Doyle	Green Party	2024-10-23	2025-10-03
Camilla Belich	Labour Party	2023-12-07	
Celia Wade-Brown	Green Party	2024-01-20	
Chlöe Swarbrick	Green Party	2017-09-23	
Cushla Tangaere-Manuel	Labour Party	2023-10-14	
Darleen Tana	Green Party	2023-10-14	2024-07-06
Darleen Tana	Independent	2024-07-06	2024-10-22
Debbie Ngarewa-Packer	Te Pāti Māori	2023-10-14	
Dr Lawrence Xu-Nan	Green Party	2024-03-07	
Dr Tracey McLellan	Labour Party	2024-01-30	
Francisco Hernandez	Green Party	2024-05-07	
Glen Bennett	Labour Party	2024-03-26	
Greg O'Connor	Labour Party	2017-09-23	
Helen White	Labour Party	2020-10-17	
Hon Andrew Bayly	National Party	2014-09-20	
Hon Andrew Hoggard	ACT Party	2023-10-14	
Hon Barbara Edmonds	Labour Party	2020-10-17	
Hon Brooke van Velden	ACT Party	2020-10-17	
Hon Carmel Sepuloni	Labour Party	2014-09-20	
Hon Casey Costello	NZ First Party	2023-10-14	
Hon Chris Bishop	National Party	2014-09-20	
Hon Chris Penk	National Party	2017-09-23	
Hon Damien O'Connor	Labour Party	2009-05-01	
Hon David Parker	Labour Party	2002-07-27	2025-05-12
Hon David Seymour	ACT Party	2014-09-20	
Hon Dr Ayesha Verrall	Labour Party	2020-10-17	
Hon Dr Deborah Russell	Labour Party	2017-09-23	
Hon Dr Duncan Webb	Labour Party	2017-09-23	
Hon Dr Megan Woods	Labour Party	2011-11-26	
Hon Dr Shane Reti	National Party	2014-09-20	
Hon Erica Stanford	National Party	2017-09-23	
Hon Ginny Andersen	Labour Party	2017-09-23	
Hon James Meager	National Party	2023-10-14	
Hon James Shaw	Green Party	2014-09-20	2024-05-05
Hon Jan Tinetti	Labour Party	2017-09-23	
Hon Jenny Salesa	Labour Party	2014-09-20	
Hon Jo Luxton	Labour Party	2017-09-23	
Hon Judith Collins	National Party	2002-07-27	2026-05-14
Hon Julie Anne Genter	Green Party	2011-11-26	
Hon Karen Chhour	ACT Party	2020-10-17	
Hon Kieran McAnulty	Labour Party	2017-09-23	
Hon Louise Upston	National Party	2008-11-08	
Hon Marama Davidson	Green Party	2015-11-02	
Hon Mark Mitchell	National Party	2011-11-26	
Hon Mark Patterson	NZ First Party	2023-10-14	
Hon Matt Doocey	National Party	2014-09-20	
Hon Melissa Lee	National Party	2008-11-08	
Hon Nicola Grigg	National Party	2020-10-17	
Hon Nicola Willis	National Party	2018-04-03	
Hon Nicole McKee	ACT Party	2020-10-17	
Hon Paul Goldsmith	National Party	2011-11-26	
Hon Peeni Henare	Labour Party	2014-09-20	2026-03-15
Hon Penny Simmonds	National Party	2020-10-17	
Hon Phil Twyford	Labour Party	2008-11-08	
Hon Priyanca Radhakrishnan	Labour Party	2017-09-23	
Hon Rachel Brooking	Labour Party	2020-10-17	
Hon Scott Simpson	National Party	2011-11-26	
Hon Shane Jones	NZ First Party	2023-10-14	
Hon Simeon Brown	National Party	2017-09-23	
Hon Simon Watts	National Party	2020-10-17	
Hon Tama Potaka	National Party	2022-12-10	
Hon Todd McClay	National Party	2008-11-08	
Hon Willie Jackson	Labour Party	2017-09-23	
Hon Willow-Jean Prime	Labour Party	2017-09-23	
Hūhana Lyndon	Green Party	2023-10-14	
Ingrid Leary	Labour Party	2020-10-17	
Kahurangi Carter	Green Party	2023-10-14	
Lan Pham	Green Party	2023-10-14	
Lemauga Lydia Sosene	Labour Party	2022-05-02	
Mariameno Kapa-Kingi	Te Pāti Māori	2023-10-14	2025-11-10
Mariameno Kapa-Kingi	Independent	2025-11-10	2026-03-10
Mariameno Kapa-Kingi	Te Pāti Māori	2026-03-10	2026-05-12
Mariameno Kapa-Kingi	Independent	2026-05-12	
Mike Davidson	Green Party	2025-10-07	
Rachel Boyack	Labour Party	2020-10-17	
Rawiri Waititi	Te Pāti Māori	2020-10-17	
Reuben Davidson	Labour Party	2023-10-14	
Ricardo Menéndez March	Green Party	2020-10-17	
Rt Hon Adrian Rurawhe	Labour Party	2014-09-20	2026-02-06
Rt Hon Chris Hipkins	Labour Party	2008-11-08	
Rt Hon Christopher Luxon	National Party	2020-10-17	
Rt Hon Gerry Brownlee	National Party	1996-10-12	
Rt Hon Winston Peters	NZ First Party	2023-10-14	
Scott Willis	Green Party	2023-10-14	
Shanan Halbert	Labour Party	2024-02-08	
Steve Abel	Green Party	2023-10-14	
Takutai Tarsh Kemp	Te Pāti Māori	2023-10-14	2025-06-26
Tamatha Paul	Green Party	2023-10-14	
Tangi Utikere	Labour Party	2020-10-17	
Teanau Tuiono	Green Party	2020-10-17	
Vanushi Walters	Labour Party	2025-05-13	
